2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.idea\inspectionProfiles\profiles_settings, Расширение: .xml, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.idea\inspectionProfiles
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.idea\misc, Расширение: .xml, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.idea
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.idea\modules, Расширение: .xml, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.idea
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.idea\PythonGB, Расширение: .iml, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.idea
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.idea\vcs, Расширение: .xml, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.idea
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.idea\workspace, Расширение: .xml, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.idea
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar02, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar02\hometask_02_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar02
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar02\hometask_02_2, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar02
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar02\hometask_02_3, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar02
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar02\seminar_02_8, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar02
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar02\seminar_02_9, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar02
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar04, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar04\hometask_04_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar04
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar04\hometask_04_2, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar04
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar04\seminar_04_3, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar04
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar04\seminar_04_4, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar04
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar04\seminar_04_5, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar04
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar04\seminar_04_6, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar04
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar06, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar06\hometask_06_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar06
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar06\hometask_06_1_ai, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar06
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar06\hometask_06_2, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar06
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar06\hometask_06_4, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar06
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar06\seminar_06_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar06
